bn,pk,bh,val
16707700,0x94aa4e,0x972602,12544030006376709
16707692,0x94aa4e,0x3742e2,63062150121806049
16707698,0x94aa4e,0xa8764c,15866192083049909
16707698,0x94aa4e,0x26a631,15209931644536785
16707695,0x94aa4e,0x406390,15975187737338686
16707698,0x94aa4e,0x0555e1,15325332211120757
16707700,0x94aa4e,0x303a46,89579903485818778
16707700,0x94aa4e,0x084f1d,90039441354344611
16707695,0x94aa4e,0x7f461a,9573512524955869
16707700,0x94aa4e,0x2f066f,90752673399608611
16707700,0x94aa4e,0xb79b3c,90775806899608611
16707700,0x94aa4e,0x22e389,91571842956472207
16707702,0x94aa4e,0x09c923,19519246429895263
16707698,0x94aa4e,0xd1204b,70727904011035728
16707695,0x94aa4e,0x406390,15975187737338686
16707699,0x94aa4e,0x400038,13018673296368722
16707699,0x94aa4e,0x947ac1,14762179780959983
16707699,0x94aa4e,0xc264c4,15298216081609980
