optimistic_submission|decode_duration|prechecks_duration|simulation_duration|redis_update_duration|total_duration|slot|block_hash
f|10961|1925|81993|10396|105276|5992806|0x95203727f1c355bde1527e15ce32bd3add6d325579985abe8c06e4e03568fffc
f|13119|1331|122565|7474|144490|5994098|0x3d3c3137fcd885e1a29fab36e1d9557b1504837582d9b5f60fd7e8b499569169
f|16704|1895|263908|8361|290869|5993320|0xd00217cbca2fd643d8d6c6245069eb5cd260e9b70fa644b621809d12c4289deb
f|15543|1364|104746|11951|133605|5994169|0x0be2748bc9088baf040183f846ea868a90e1c638f715418b272bb992f9a0223d
f|11022|5000|104329|5520|125873|5994371|0x44e2ee2157fa96f5af4daddd0352d836c9a153b185d1edd34cfad4c80d3edec9
f|86974|1326|249525|216780|554606|5992817|0xfaf4e5dd7a46734452afea4d5042b8580e46cd47577c78c3c1b281b52fc7f4b2
f|137542|2303|245012|8208|393067|5992819|0x7d970a7f732449ad3739ca50da9550a178f8bfe29b1aa3364abf9c825cc58a5e
f|9271|1475|100702|6570|118019|5993321|0xd388017b3e4031cfcaf1b9b507d52789c8d12b8bf67642c5970430858e9fb97e
f|284074|54467|99391|1472194|1910128|5994372|0xd067004cb7239d1e26263758d22937a11d937747f5b39fd9318585f9ee1677a9
f|96220|2209|157587|9133|265150|5993528|0xcabb9d5a34641130c2ad05984956fd1c3d100e0dc10314830c5d729058e85bb0
f|25848|1821|169304|12374|209349|5994404|0xebf54d405400a3b6700928d8a31aaca96c0ce9b4f99148029292857dc3ed1ac2
f|21454|1937|120966|6422|150780|5992836|0x126916ac8db2b4c1668a48660fac4947e632605c6bb499e2936152cd7a41ef7a
f|10702|2305|98402|5411|116821|5992836|0x126916ac8db2b4c1668a48660fac4947e632605c6bb499e2936152cd7a41ef7a
f|15193|1924|136536|52364|206019|5993538|0x5861d6d545f4ec3de49a09f8a369277e0ca9891356a8d59ffe05dd2aabdd61ad
f|14860|4844|141265|0|0|5992840|0x02dbeb36f6ff453a6b66765abb632358640e7f4390bb18f66c07b6cc62ab0539
f|18050|2043|89153|11865|121112|5992840|0x02dbeb36f6ff453a6b66765abb632358640e7f4390bb18f66c07b6cc62ab0539
f|112586|1593|186376|152774|453330|5994411|0x5d80355d91807c59e183721df2784263906b8e176f6037a7119b64c27c26ac2b
f|10740|1317|106989|5044|124091|5993542|0xbbeebb9cd71191167fb13de32987ee451fd3afdae840fba6e276ec5b10b7ff1c
f|11928|1479|98503|6623|118534|5994498|0x1c2e3f19d8da07d199d21767dfa80915bfdee05e913adc7d583ad1eefd133378
f|5955|1648|90293|6022|103919|5992842|0x89dbbd574727944c41c1545a28f59c09b7c6041d178c4272eb3a278f90b170a7
f|6316|1543|100102|4934|112896|5992842|0x89dbbd574727944c41c1545a28f59c09b7c6041d178c4272eb3a278f90b170a7
f|18704|2758|136963|5768|164196|5994801|0xb2d705f04527a2cb0ee57566b5ee76c7947ef28f376abe452b73f9b1be1f3fa2
f|10120|2556|110011|31029|153718|5994498|0x1c2e3f19d8da07d199d21767dfa80915bfdee05e913adc7d583ad1eefd133378
