received_at|slot|value|simulation_duration|total_duration
2023-03-1318:41:59.364061|5992408|119902292556612816|220955|276626
2023-03-1318:41:59.528042|5992408|119902292556612816|202414|238671
2023-03-1318:41:59.467348|5992408|119902292556612816|167422|318743
2023-03-1318:41:59.363756|5992408|119902292556612816|252300|0
2023-03-1318:42:23.25012|5992410|68006132873408411|99491|233360
2023-03-1318:41:23.599963|5992405|184099366316011584|118794|0
2023-03-1318:44:24.642527|5992420|71893626789679430|127082|228935
2023-03-1318:43:37.973258|5992416|125768702514501592|130731|213463
2023-03-1318:43:46.427492|5992417|39087537627032148|134035|255085
2023-03-1318:42:37.60821|5992411|107103121360495725|128917|418580
2023-03-1318:43:23.826157|5992415|104602242878644848|111179|145583
2023-03-1318:45:36.020623|5992426|49774184235448328|290637|521617
2023-03-1318:44:11.711963|5992419|74229759114880814|103950|206651
2023-03-1318:44:35.608334|5992421|77143346733562256|118075|142022
2023-03-1318:45:36.047327|5992426|49774184235448328|240696|494785
2023-03-1318:44:35.61436|5992421|77143346733562256|158696|184094
2023-03-1318:44:35.689842|5992421|77143346733562256|132189|167787
2023-03-1318:46:57.680532|5992433|23774159527593244|95401|0
2023-03-1318:46:57.306786|5992433|23774159527593244|93034|250092
2023-03-1318:46:57.910544|5992433|23774159527593244|95345|217351
2023-03-1318:46:58.414255|5992433|23774159527593244|230727|655578
2023-03-1318:46:58.100558|5992433|23774159527593244|111449|148287
2023-03-1318:46:59.415275|5992433|23774159527593244|179070|542336
2023-03-1318:46:57.267258|5992433|23774159527593244|134751|169499
2023-03-1318:46:57.408067|5992433|23774159527593244|63611|216621
2023-03-1318:46:57.345443|5992433|23774159527593244|69281|193336
2023-03-1318:46:57.885085|5992433|23774159527593244|122061|168476
2023-03-1318:46:57.968415|5992433|23774159527593244|76723|0
2023-03-1318:46:57.552429|5992433|23774159527593244|78763|125324
2023-03-1318:46:57.64971|5992433|23774159527593244|151770|0
2023-03-1318:46:57.363213|5992433|23774159527593244|71755|109344
2023-03-1318:46:00.032241|5992428|34385772557397648|173647|421004
2023-03-1318:45:36.100349|5992426|49774184235448328|167272|566068
2023-03-1318:46:57.746514|5992433|23774159527593244|70810|182027
2023-03-1318:46:58.491822|5992433|23774159527593244|174264|498450
2023-03-1318:47:23.18848|5992435|63630956776883388|162508|460135
2023-03-1318:46:57.396631|5992433|23774159527593244|113274|161222
2023-03-1318:46:57.705613|5992433|23774159527593244|150798|213805
2023-03-1318:46:57.256563|5992433|23774159527593244|102442|270214
2023-03-1318:46:57.274609|5992433|23774159527593244|89205|0
2023-03-1318:46:57.648242|5992433|23774159527593244|148546|270124
2023-03-1318:46:57.774495|5992433|23774159527593244|92671|244850
2023-03-1318:46:57.704882|5992433|23774159527593244|102684|0
2023-03-1318:46:57.88881|5992433|23774159527593244|96603|232567
2023-03-1318:46:57.639154|5992433|23774159527593244|155546|284078
2023-03-1318:46:57.900712|5992433|23774159527593244|96876|234044
2023-03-1318:46:58.221515|5992433|23774159527593244|95933|137720
2023-03-1318:46:58.326568|5992433|23774159527593244|117289|535888
2023-03-1318:46:57.46898|5992433|23774159527593244|138379|308007
2023-03-1318:46:57.607143|5992433|23774159527593244|154880|309233
2023-03-1318:46:58.151687|5992433|23774159527593244|99985|314813
2023-03-1318:46:58.084374|5992433|23774159527593244|111510|148667
2023-03-1318:46:59.878404|5992433|23774159527593244|129510|181764
2023-03-1318:46:57.460066|5992433|23774159527593244|110031|148210
2023-03-1318:46:58.158296|5992433|23774159527593244|111499|159652
2023-03-1318:46:59.521922|5992433|23774159527593244|197335|443110
2023-03-1318:46:57.652066|5992433|23774159527593244|109159|140220
2023-03-1318:46:58.421777|5992433|23774159527593244|125757|437669
2023-03-1318:46:58.28498|5992433|23774159527593244|116647|577334
2023-03-1318:46:58.204029|5992433|23774159527593244|120435|273697
2023-03-1318:46:59.356384|5992433|23774159527593244|245283|611381
2023-03-1318:46:57.765003|5992433|23774159527593244|135043|163838
2023-03-1318:46:57.717616|5992433|23774159527593244|116110|0
2023-03-1318:46:58.130611|5992433|23774159527593244|117752|777385
2023-03-1318:46:58.406485|5992433|23774159527593244|123591|499646
2023-03-1318:46:57.82403|5992433|23774159527593244|121829|161676
2023-03-1318:46:57.972203|5992433|23774159527593244|169897|0
2023-03-1318:46:59.85807|5992433|23774159527593244|163863|412306
2023-03-1318:46:58.549308|5992433|23774159527593244|231996|0
2023-03-1318:46:57.963104|5992433|23774159527593244|102662|141853
2023-03-1318:46:58.639321|5992433|23774159527593244|219813|0
2023-03-1318:46:58.161698|5992433|23774159527593244|158369|700645
2023-03-1318:46:58.498299|5992433|23774159527593244|145811|475518
2023-03-1318:46:59.118678|5992433|23774159527593244|217282|0
2023-03-1318:46:57.75138|5992433|23774159527593244|87726|0
2023-03-1318:46:58.353885|5992433|23774159527593244|160336|504881
2023-03-1318:46:58.073903|5992433|23774159527593244|94744|221621
2023-03-1318:46:58.294204|5992433|23774159527593244|306188|0
2023-03-1318:46:57.830369|5992433|23774159527593244|79343|232799
2023-03-1318:46:59.727207|5992433|23774159527593244|176966|0
2023-03-1318:46:58.280398|5992433|23774159527593244|160415|213875
2023-03-1318:47:00.156753|5992433|23774159527593244|94459|133148
2023-03-1318:46:59.477164|5992433|23774159527593244|213088|511367
2023-03-1318:46:59.03303|5992433|23774159527593244|207320|587560
2023-03-1318:46:58.014454|5992433|23774159527593244|106863|418366
2023-03-1318:46:59.000585|5992433|23774159527593244|239311|526236
2023-03-1318:47:00.075375|5992433|23774159527593244|158188|203487
2023-03-1318:46:57.815306|5992433|23774159527593244|114169|368752
2023-03-1318:46:59.940674|5992433|23774159527593244|84848|428544
2023-03-1318:46:59.827905|5992433|23774159527593244|113299|471256
2023-03-1318:46:58.991939|5992433|23774159527593244|212018|0
2023-03-1318:46:58.556171|5992433|23774159527593244|268702|891434
2023-03-1318:46:58.084854|5992433|23774159527593244|139708|0
2023-03-1318:46:58.395652|5992433|23774159527593244|204480|671591
2023-03-1318:47:00.09798|5992433|23774159527593244|112774|272187
2023-03-1318:46:58.772094|5992433|23774159527593244|220182|670402
2023-03-1318:46:59.475788|5992433|23774159527593244|208147|0
2023-03-1318:46:59.816167|5992433|23774159527593244|118134|223141
2023-03-1318:46:59.942553|5992433|23774159527593244|178110|242800
2023-03-1318:46:58.521506|5992433|23774159527593244|293128|1007670
2023-03-1318:46:59.290207|5992433|23774159527593244|182178|711685
2023-03-1318:46:59.550494|5992433|23774159527593244|187439|585104
2023-03-1318:46:59.966838|5992433|23774159527593244|86875|364812
2023-03-1318:46:59.259774|5992433|23774159527593244|93825|324364
2023-03-1318:46:59.396508|5992433|23774159527593244|227376|605550
2023-03-1318:46:58.785646|5992433|23774159527593244|198812|287772
2023-03-1318:46:59.233922|5992433|23774159527593244|180450|760506
2023-03-1318:46:58.364493|5992433|23774159527593244|156677|612608
2023-03-1318:46:59.319172|5992433|23774159527593244|193083|292083
2023-03-1318:46:59.054715|5992433|23774159527593244|128521|509938
2023-03-1318:47:00.008989|5992433|23774159527593244|172502|252051
2023-03-1318:46:59.158785|5992433|23774159527593244|198106|804391
2023-03-1318:46:59.17238|5992433|23774159527593244|229935|785525
2023-03-1318:46:58.708205|5992433|23774159527593244|257198|755834
2023-03-1318:46:59.45802|5992433|23774159527593244|182432|507642
2023-03-1318:46:59.649824|5992433|23774159527593244|149763|0
2023-03-1318:46:59.196009|5992433|23774159527593244|194596|0
2023-03-1318:46:59.599204|5992433|23774159527593244|237529|0
2023-03-1318:46:58.747322|5992433|23774159527593244|236454|783274
2023-03-1318:46:58.890161|5992433|23774159527593244|275776|558843
2023-03-1318:46:59.229699|5992433|23774159527593244|195969|727684
2023-03-1318:46:59.296083|5992433|23774159527593244|202540|697506
2023-03-1318:46:59.372368|5992433|23774159527593244|200892|595424
2023-03-1318:46:59.367074|5992433|23774159527593244|251970|0
2023-03-1318:46:58.714028|5992433|23774159527593244|281158|0
2023-03-1318:47:23.137173|5992435|63630956776883388|242020|618833
2023-03-1318:47:59.597861|5992438|356284706364188589|167006|190567
2023-03-1318:47:47.938085|5992437|43889887620438925|146255|254015
