optimistic_submission|decode_duration|prechecks_duration|simulation_duration|redis_update_duration|total_duration
f|86216|2895|32559|6994|128665
t|126580|2696|27|65945|195249
f|86687|2871|50613|14376|154547
t|155889|2941|22|8541|167395
f|85300|2737|34624|8195|130858
f|89736|2764|34926|8916|136344
t|163766|2742|12|9074|175596
f|86228|2642|31920|6727|127519
t|125922|3612|3|9548|139087
f|109667|4996|32000|40304|186969
f|87395|2220|43706|8614|141937
f|92594|49324|31392|6633|179945
f|92397|2733|30485|8375|133992
f|85202|3774|43440|8005|140423
f|105664|3792|31111|8260|148830
t|127844|2789|13|23290|153938
f|86151|11050|29713|25445|152360
f|96523|11864|32352|64876|205616
f|85667|2476|142123|12045|242312
f|46378|2544|51361|10710|110994
f|105576|4298|34544|57863|202282
t|98911|2998|25|7895|109831
f|86873|3490|33144|6736|130244
t|128399|2828|12|6259|137500
f|89524|2442|91808|11108|194883
f|56993|44648|33334|8505|143482
f|85536|3239|39112|13533|141421
f|105127|3371|37386|8050|153935
t|142769|2384|3|9944|155101
f|206435|92923|99205|512323|910888
t|193047|4506|6|405369|602929
f|89680|4187|50808|282824|427501
f|89671|92999|54384|54180|291235
f|109086|97934|93303|509795|810120
f|102594|95921|95060|108403|401978
f|6430|3296|16807|9689|36223
t|44734|2879|10|8115|55739
t|119742|2571|21|7744|130081
t|141035|11135|8|10324|162504
