precheck_duration,simulation_duration,redis_update_duration,submission_duration,optimistic_submission
288579,53859,14971,357410,f
148369,66310,13827,228508,f
289254,208589,506680,1004525,f
281598,46070,12145,339815,f
621934,39961,10922,672818,f
305050,53369,12307,370728,f
266251,57146,12530,335928,f
296501,47745,13657,357904,f
281678,50132,13456,345268,f
309872,48237,11308,369418,f
344709,101219,307590,753520,f
396034,106407,397846,900289,f
196524,101202,200423,498151,f
104954,187050,102788,394794,f
203317,71530,295434,570283,f
258649,80478,33001,372129,f
138341,71771,24393,234506,f
130190,86404,14406,231002,f
667137,74003,44919,786061,f
183901,77964,29492,291358,f
299482,67164,35042,401689,f
114805,60285,52505,227596,f
521297,93788,18074,633160,f
145414,93699,13166,252280,f
123883,79316,14042,217242,f
140597,71563,12095,224256,f
130164,71898,21113,223177,f
366997,73025,29724,469748,f
142941,101988,12459,257389,f
297715,67422,14348,379487,f
140912,66154,19237,226305,f
144654,67746,20458,232860,f
101226,64771,16654,182652,f
148656,91505,48376,288538,f
326559,99450,107133,533143,f
200664,97306,107015,404987,f
168372,68886,31146,268406,f
103373,71047,13654,188075,f
10010,189984,206792,406788,f
103785,91807,109748,305341,f
107992,191402,114811,414206,f
99986,151491,52423,303900,f
23144,35713,7877,66736,f
90222,37733,7721,135677,f
105880,36155,7617,149653,f
90410,42025,9400,141836,f
92956,56460,11979,161396,f
99242,53312,9275,161830,f
91687,53313,9304,154306,f
101589,52776,8547,162913,f
10179,53920,7172,71272,f
95673,52112,14539,162326,f
96672,40495,8831,146000,f
17940,39863,6291,64095,f
91444,41705,13100,146250,f
99032,39731,9218,147984,f
88387,41210,8879,138477,f
97644,40265,8138,146049,f
393971,38982,8501,441456,f
89914,45318,13506,148740,f
100817,45498,10216,156533,f
93031,48858,18461,160351,f
22845,47710,8137,78694,f
97782,45279,52221,195283,f
91900,48070,8531,148502,f
22477,44538,8150,75167,f
92593,44175,8298,145068,f
108582,45255,8774,162612,f
90787,47244,7764,145797,f
30774,46131,9213,86120,f
94488,49524,11400,155413,f
106930,52421,19111,178464,f
10875,54558,14365,79799,f
95844,55176,11201,162221,f
95950,53407,51436,200795,f
108672,50871,8818,168363,f
29602,51548,8388,89539,f
94458,63421,8465,166345,f
94654,52322,9527,156504,f
20367,51391,37464,109223,f
106808,54077,10695,171581,f
93335,54265,9671,157272,f
91415,54233,9587,155236,f
109850,54194,9809,173854,f
249458,53783,9257,312499,f
86624,57401,10523,154550,f
24646,54132,9486,88265,f
97179,53389,10155,160724,f
113233,57197,9350,179782,f
87292,58068,9940,155301,f
11743,54523,9315,75582,f
86777,58889,9453,155120,f
95728,56530,10169,162429,f
110196,57274,9582,177054,f
87004,57956,9479,154440,f
11652,57549,9611,78812,f
87134,79870,12486,179491,f
3788,9316,5039,18144,f
3539,8215,4606,16362,f
3673,12602,15249,31525,f
10496,14229,4657,29384,f
15407,16607,5979,37995,f
27104,18469,6018,51593,f
23639,15843,4775,44259,f
4613,10927,6185,21727,f
3441,5690,3909,13042,f
2946,5404,4996,13347,f
3416,6858,4968,15243,f
3342,9509,4546,17399,f
3384,8710,4743,16838,f
5756,9344,5893,20994,f
3616,10493,7356,21467,f
32048,15565,5054,52668,f
60136,17122,42670,119931,f
43760,17132,5680,66573,f
65424,19009,8360,92794,f
38222,17666,6440,62329,f
84614,21527,5839,111982,f
71710,20129,10107,101948,f
51655,20208,6690,78555,f
106454,24789,7364,138609,f
100587,25247,6891,132726,f
3826,17988,6014,27829,f
22924,18444,5168,46537,f
37909,18063,6028,62002,f
15286,18814,7934,42035,f
233811,34417,23134,291364,f
133274,35462,10502,179240,f
150343,35404,9035,194784,f
120729,24284,6850,151864,f
86407,28918,7584,122910,f
95936,28752,8098,132787,f
189379,30934,17145,237459,f
104244,36467,9082,149795,f
99880,38948,11109,149938,f
149300,31569,8334,189203,f
174404,31428,12713,218547,f
175814,30716,7653,214183,f
232525,32488,7454,272469,f
84901,31564,8836,125302,f
217193,31193,8698,257085,f
85169,37795,8662,131627,f
190212,42344,10268,242826,f
198755,36162,11324,246242,f
138024,34344,8024,180393,f
86013,33297,8631,127941,f
85815,34919,28736,149471,f
7941,90799,107269,206011,f
106142,94169,103417,303730,f
105837,94990,11308,212137,f
4226,10084,4464,18775,f
3464,7930,4448,15843,f
5620,17037,7183,29841,f
8652,15754,6609,31017,f
53041,12471,7031,72544,f
19776,11603,6596,37976,f
8688,11789,6648,27127,f
11074,11957,7508,30540,f
5652,17992,5330,28976,f
16843,28202,10053,55100,f
36572,19854,5954,62381,f
44902,20638,5922,71463,f
20768,20373,7880,49022,f
58965,20415,5750,85132,f
81251,20854,6189,108295,f
19110,20806,6435,46352,f
23722,21629,9582,54935,f
70489,21972,9384,101846,f
23619,21007,8723,53350,f
27673,23055,6867,57596,f
26710,21877,6548,55137,f
18849,22734,6986,48571,f
30924,21581,6335,58841,f
15432,32533,6707,54674,f
111736,71559,9555,192851,f
125810,54665,6894,187370,f
122480,63656,14653,200790,f
86378,64440,36727,187547,f
113620,57998,7693,179312,f
86534,60241,7519,154296,f
104457,59174,7573,171205,f
84303,56532,6464,147301,f
122270,224984,109468,456723,f
105232,57807,11809,174849,f
83630,59884,8891,152406,f
124218,58096,10883,193199,f
84044,54875,7615,146536,f
135951,57921,9570,203443,f
193333,95956,104293,393583,f
100430,92573,14313,207317,f
113223,153457,37259,303940,f
120785,62481,7378,190646,f
246944,94846,21759,363551,f
142080,33147,6303,181532,f
118340,65515,11477,195334,f
274089,64038,17920,356049,f
99772,65714,10146,175633,f
90436,62145,9958,162541,f
302257,64773,9285,376316,f
240967,65536,10205,316710,f
211318,70160,10155,291634,f
125494,66778,11368,203641,f
127011,63727,17154,207893,f
287203,65106,10718,363028,f
135282,64532,11266,211081,f
127927,63376,24176,215481,f
101941,68815,15427,186185,f
94758,62744,13201,170704,f
300425,65279,11601,377307,f
130284,72261,10859,213404,f
143534,66772,11756,222063,f
101571,87493,11509,200574,f
98244,78468,10390,187103,f
127206,88973,28084,244265,f
92025,94045,24865,210937,f
124341,87207,11129,222679,f
126431,81302,12789,220523,f
295531,79437,11675,386644,f
130729,79842,11504,222076,f
90972,86080,10283,187336,f
103371,95084,12609,211065,f
87401,101626,13523,202553,f
150926,110971,12842,274740,f
141537,98820,19108,259466,f
125934,93467,12401,231804,f
159433,94632,13582,267649,f
113752,112807,196058,422619,f
207375,111784,11114,330275,f
90854,141244,102616,334715,f
106507,105510,15683,227702,f
140603,146482,10968,298054,f
110340,85647,12831,208820,f
87216,82022,12634,181874,f
148475,83266,10942,242684,f
149677,85072,10649,245400,f
112987,89859,10907,213754,f
87241,93415,11173,191830,f
100695,89614,11382,201693,f
122251,95159,11172,228583,f
283834,110064,11956,405856,f
304712,91232,413146,809091,f
97417,103907,907384,1108711,f
291359,100879,1104644,1496883,f
295003,196626,304705,796335,f
402332,189997,311646,903976,f
398587,190641,416657,1005886,f
198932,97199,609629,905760,f
108440,200209,505475,814126,f
120728,73124,22829,216682,f
181468,50453,13676,245598,f
117901,46106,40635,204644,f
190700,48706,54970,294378,f
113142,62196,133590,308929,f
207950,61442,39106,308500,f
203179,49905,24040,277125,f
135689,52440,25059,213190,f
179321,62815,42260,284398,f
97325,57831,46719,201876,f
121949,71956,116615,310522,f
142055,142855,21984,306895,f
391294,67952,25510,484757,f
187876,57258,49636,294771,f
123517,51709,35877,211105,f
140859,92052,10365,243277,f
177541,53252,47992,278788,f
106563,82449,26037,215050,f
99295,110074,492364,701735,f
109661,94135,198229,402027,f
172059,196660,606533,975253,f
302777,104500,410155,817433,f
313752,187597,1202603,1703953,f
193811,144920,56722,395455,f
98672,61320,29960,189953,f
340191,93616,206308,640117,f
201501,96351,307422,605275,f
200104,100920,598414,899440,f
704747,95184,510690,1310621,f
412163,194036,205891,812092,f
129983,137588,409834,677406,f
207436,98418,592589,898445,f
302561,93130,596775,992468,f
206786,94803,101807,403397,f
57119,61941,13281,132342,f
197917,69917,20558,288394,f
93081,63237,13839,170159,f
170824,62679,17947,251451,f
137825,65185,27169,230179,f
139890,99894,13481,253266,f
124114,62536,10396,197049,f
113642,62367,14214,190224,f
208750,60513,13180,282444,f
180969,79905,13653,274528,f
99220,60911,20391,180523,f
110616,62179,16362,189159,f
102086,63101,245903,411091,f
100342,198014,402649,701006,f
196301,209393,793355,1199051,f
204901,94927,1109990,1409820,f
200572,199952,897042,1297567,f
603019,94964,407807,1105791,f
608992,188663,399219,1196876,f
203450,193830,309727,707008,f
8732,12054,4799,25586,f
3221,6406,4052,13679,f
4298,7608,4952,16858,f
3129,6598,5587,15315,f
3143,6403,5101,14648,f
3362,7264,5593,16220,f
3155,8634,4960,16750,f
3332,8368,6125,17826,f
4415,6845,4842,16104,f
32384,9806,5752,47943,f
17283,10554,5474,33312,f
59536,9500,5160,74197,f
14388,12370,5686,32446,f
9456,12048,5074,26579,f
13362,13396,5646,32406,f
101105,12171,4492,117769,f
42527,14798,13356,70682,f
15822,12676,5633,34133,f
39536,12708,5615,57860,f
44026,12795,5655,62477,f
30891,14875,6680,52447,f
74928,15594,5597,96120,f
55065,16667,6472,78206,f
114996,15764,6171,136933,f
118156,15663,5253,139073,f
41511,15909,5727,63148,f
100325,18168,6130,124625,f
140695,16789,8432,165917,f
40026,16767,8233,65027,f
43352,17260,7158,67771,f
63218,20532,6410,90162,f
13978,16763,7033,37776,f
96245,19161,22381,137789,f
140199,18162,6036,164398,f
47079,19970,5674,72724,f
146981,19466,6049,172497,f
60808,20020,7084,87914,f
4097,22101,6660,32859,f
47734,23867,40781,112383,f
50023,17376,6771,74171,f
4663,21086,7063,32813,f
5009,25484,8575,39070,f
68014,23497,8762,100274,f
101318,21677,6989,129986,f
119376,20061,7210,146647,f
4433,20948,7217,32599,f
13779,21879,5343,41003,f
4380,22332,5775,32487,f
16344,21846,9090,47281,f
44867,19489,6096,70454,f
5408,21996,10440,37846,f
97558,22204,7887,127651,f
3733,21719,7855,33308,f
133105,20862,6619,160587,f
29765,24406,6759,60931,f
52861,23387,7951,84199,f
84112,21194,7004,112312,f
99972,21880,7470,129323,f
121269,24125,6753,152148,f
8105,16154,16136,40396,f
15510,23576,6247,45335,f
18975,15351,5797,40124,f
3157,6610,4638,14406,f
22708,6687,4526,33923,f
11865,6865,4959,23690,f
3409,6416,5386,15212,f
24977,9721,4836,39535,f
18268,9280,6217,33783,f
16631,7313,5840,29786,f
18716,10254,7222,36194,f
18164,9340,10380,37885,f
16806,11846,7873,36525,f
22368,12137,4387,38893,f
11971,16085,5438,33495,f
21926,12687,7963,42579,f
27404,13227,5247,45878,f
26178,14327,5687,46193,f
64563,17733,7963,90260,f
7294,74149,12775,94219,f
4314,21762,6012,32090,f
19862,21341,6030,47234,f
28900,10148,5675,44724,f
21401,9165,5147,35715,f
12016,13583,21548,47148,f
23785,13435,16844,54065,f
9182,12731,4657,26572,f
9247,13413,4869,27530,f
15143,13578,6330,35052,f
28915,15292,6914,51122,f
32390,17540,6408,56339,f
29964,13815,10040,53820,f
24611,24328,7186,56126,f
20641,14794,5449,40885,f
15461,15633,9807,40903,f
14343,24166,7775,46286,f
17696,21230,6184,45111,f
14879,19153,6439,40473,f
24574,18340,41722,84639,f
43428,20760,4674,68863,f
16254,22231,6805,45292,f
32368,19128,6731,58228,f
18105,17762,5746,41614,f
13828,21398,7253,42480,f
24696,25571,76054,126323,f
27477,28395,9078,64951,f
114563,27040,8645,150249,f
84492,26596,7354,118443,f
133440,24513,5933,163888,f
98217,32073,13284,143575,f
3953,23307,6964,34226,f
16626,25008,12771,54407,f
27850,23971,80764,132587,f
39423,21517,5536,66477,f
32169,21605,5875,59651,f
10530,25193,6339,42063,f
43762,24907,9344,78014,f
33706,26547,6785,67039,f
3848,23943,6731,34523,f
86236,30604,9645,126486,f
85657,29732,10321,125710,f
84354,27002,7594,118951,f
90577,27890,8107,126576,f
287321,194196,128870,610389,f
146956,79328,21761,248047,f
168436,111137,13740,293314,f
402581,96006,523464,1022052,f
169171,122504,80315,371992,f
15990,13142,5826,34959,f
13945,11244,5438,30628,f
90788,39792,13526,144108,f
86081,25356,5785,117223,f
99027,34372,6242,139642,f
106680,34364,6752,147797,f
85544,34094,8689,128328,f
83332,29230,7357,119921,f
111510,45739,11124,168374,f
3915,11954,5762,21633,f
4662,13399,5428,23490,f
15931,11854,6143,33928,f
4241,14297,5982,24521,f
15034,15466,5209,35711,f
113877,23655,57016,194549,f
312804,88450,512559,913815,f
4548,13843,5469,23862,f
3700,13039,5366,22106,f
25826,16496,5522,47845,f
5905,15509,5626,27041,f
6666,15499,7262,29429,f
13469,16664,6200,36334,f
5874,16714,5727,28316,f
5073,16211,5395,26681,f
14239,16981,5617,36838,f
8852,19938,6366,35157,f
111837,19921,10557,142316,f
88047,18509,6509,113067,f
93238,20057,6816,120112,f
86901,19268,6959,113130,f
