substring|decode_duration|pg_column_size
0xacea6a|114085|40627
0xb67a51|88155|44862
0xaa1488|82539|45054
0xacea6a|116067|44810
0xb67a51|99237|46199
0xaa1488|81503|46406
0xaa1488|82850|46700
0xaa1488|83343|46869
0xacea6a|116611|45960
0xb67a51|97714|47667
0xaa1488|82012|48281
0xaa1488|84592|50118
0xacea6a|263|6753
0xb67a51|90599|46667
0xaa1488|81491|47050
0xb67a51|89793|46866
0xaa1488|82365|47223
0xacea6a|117617|46822
0xaa1488|83852|47858
0xb67a51|4258|9258
0xb67a51|12906|10736
0xacea6a|663|10704
0xb67a51|12727|13242
0xb67a51|274|6796
0xacea6a|255|7594
0xb67a51|307|7856
0xacea6a|307|8669
0xb67a51|101866|69550
0xaa1488|81700|69718
0xaa1488|86858|70146
0xaa1488|86232|70357
0xacea6a|130065|70320
0xaa1488|87544|70643
0xacea6a|1704|13980
0xb67a51|6929|14621
0xacea6a|2799|14996
0xb67a51|10614|15012
0xb67a51|12264|17825
0xacea6a|3721|17399
0xb67a51|9795|18240
0xacea6a|2108|18873
0xb67a51|97215|34732
0xb67a51|87459|35200
0xacea6a|117406|34866
0xb67a51|88544|38136
0xacea6a|110230|38419
0xb67a51|89159|38740
0xb67a51|88757|41101
0xacea6a|118479|40895
0xb67a51|92674|41647
0xacea6a|117729|41228
0xb67a51|100730|42141
0xb67a51|93176|44389
0xacea6a|118532|44274
0xb67a51|86880|44858
0xaa1488|82806|45057
0xaa1488|82612|45211
0xaa1488|85350|68309
0xb67a51|100502|68145
0xacea6a|126859|68014
0xaa1488|85371|68777
0xaa1488|86072|69516
0xb67a51|99104|70442
0xaa1488|91948|71121
0xb67a51|96726|71479
0xaa1488|85094|71679
0xaa1488|86568|71852
0xacea6a|117616|71193
0xb67a51|94687|71675
0xaa1488|86578|72058
0xaa1488|86312|72219
0xacea6a|126462|71903
0xacea6a|50551|9541
0xb67a51|13960|10807
0xacea6a|50847|10284
0xb67a51|15740|11045
0xacea6a|149598|18742
0xb67a51|125487|19547
0xacea6a|153344|20123
0xb67a51|133054|20162
0xb67a51|133061|71141
0xacea6a|242514|71833
0xb67a51|166644|73224
0xb67a51|185401|73497
0xacea6a|219528|73462
0xb67a51|133729|73409
0xb67a51|120796|73858
0xacea6a|249760|73813
0xb67a51|175937|79958
0xb67a51|165419|80551
0xacea6a|181087|80312
0xb67a51|143008|81135
0xb67a51|136691|81731
0xacea6a|379730|81689
0xb67a51|130839|82126
0xacea6a|108643|82812
0xb67a51|150102|82841
0xb67a51|145408|83218
0xacea6a|107788|83021
0xb67a51|121931|83390
0xaa1488|88132|83446
0xaa1488|86986|83756
0xb67a51|131235|83539
0xacea6a|68746|83354
0xaa1488|87501|83988
0xaa1488|85692|84117
0xb67a51|126289|83923
0xaa1488|86953|84275
0xacea6a|177732|84014
0xb67a51|154224|381227
0xb67a51|230012|381421
0xaa1488|151716|386084
0xb67a51|126336|84080
0xaa1488|88425|84758
0xb67a51|129664|84573
0xaa1488|88738|84916
0xaa1488|86435|85254
0xb67a51|124518|85063
0xaa1488|83369|85397
0xacea6a|115672|57157
0xb67a51|157588|79049
0xb67a51|267731|228520
0xacea6a|235162|104561
0xb67a51|295902|254653
0xb67a51|310185|366629
0xacea6a|440279|255303
0xb67a51|283297|291428
0xb67a51|174194|294745
0xb67a51|142095|295785
0xacea6a|439877|295438
0xb67a51|285845|298695
0xacea6a|470056|298667
0xb67a51|319960|299791
0xb67a51|131977|299986
0xacea6a|358078|299753
0xb67a51|276151|300162
0xb67a51|130591|382737
0xacea6a|235732|383322
0xb67a51|166436|383626
0xaa1488|118767|384609
0xacea6a|214823|383647
0xaa1488|129155|385421
0xb67a51|146787|385877
0xaa1488|128371|386513
0xaa1488|174973|386664
0xb67a51|206985|335414
0xaa1488|105284|336881
0xaa1488|104458|337295
0xaa1488|57790|337462
0xb67a51|392980|233901
0xacea6a|138330|386342
0xb67a51|110990|386303
0xaa1488|301896|386808
0xaa1488|202713|387764
0xaa1488|109568|388230
0xacea6a|113224|88459
0xb67a51|85147|89208
0xb67a51|168495|90488
0xacea6a|104109|91606
0xaa1488|91979|388453
0xacea6a|111428|87499
0xb67a51|105849|88010
0xb67a51|97077|88519
0xacea6a|117172|127438
0xb67a51|95625|127720
0xacea6a|124309|127758
0xb67a51|149416|127874
0xb67a51|90011|128225
0xb67a51|92194|94292
0xb67a51|87282|118298
0xacea6a|121214|118079
0xb67a51|87349|119448
0xacea6a|134432|121318
0xb67a51|96386|121641
0xb67a51|93369|123059
0xacea6a|113665|123728
0xb67a51|88449|124564
0xb67a51|93921|125007
0xacea6a|113570|126118
0xb67a51|88466|127222
0xb67a51|89815|127360
0xb67a51|118945|129152
0xaa1488|94682|129547
