received_at|value
2023-02-1112:47:46.818843|14071576537855915
2023-02-1113:03:47.183067|33203050527949945
2023-02-1112:53:23.369286|22317605415219321
2023-02-1113:13:46.704675|20681642742690532
2023-02-1113:14:59.479366|8263970168817938
2023-02-1112:55:11.484479|15683462597704969
2023-02-1113:20:47.565876|19256858851424997
2023-02-1113:26:47.169599|16621722950226848
2023-02-1112:57:48.151792|17243612162373145
2023-02-1112:58:47.438363|41489140317539643
2023-02-1113:01:23.897816|18061788328852597
2023-02-1113:57:46.977307|16650331585086501
2023-02-1113:32:10.319846|15331254955779567
2023-02-1113:32:11.526389|15331254955779567
2023-02-1113:33:10.763544|32172853559332656
2023-02-1114:03:23.750481|8578716369620996
2023-02-1113:34:59.697321|21270668940797763
2023-02-1114:17:23.924859|8681845884071664
2023-02-1113:43:47.744278|24752559843769721
2023-02-1114:47:35.586931|39933507877212665
2023-02-1114:19:46.797739|9035814623565308
2023-02-1114:20:47.816747|15350286320187232
2023-02-1114:51:24.117902|8589529065408991
2023-02-1114:24:59.259831|18255430618870061
2023-02-1114:51:35.144463|36125810419642333
2023-02-1114:27:11.45255|13842095645198978
2023-02-1114:30:58.357483|12496011835974744
2023-02-1114:31:23.615764|18342160277639006
2023-02-1115:41:35.179444|12819075172869027
2023-02-1115:15:10.610484|20741312409961837
2023-02-1115:16:11.246138|22484913341044104
2023-02-1115:17:35.28805|25277985877444027
2023-02-1115:44:11.221615|21934432227119357
2023-02-1115:21:59.843441|20208480409566022
2023-02-1115:47:35.274113|26319528777520265
2023-02-1115:55:23.89852|20036039685525695
2023-02-1115:31:22.491082|21285904584253586
2023-02-1115:56:48.245037|43366893377394236
2023-02-1116:15:23.775205|26410145294799166
2023-02-1115:58:24.158306|28359854683444114
2023-02-1116:18:11.129837|20775549954578958
2023-02-1115:58:46.779542|28005778176334821
2023-02-1115:59:59.792306|26009130582537405
2023-02-1116:24:10.806792|23078783805137126
2023-02-1116:05:20.655187|32528879975072646
2023-02-1116:28:59.492422|23086937472897169
2023-02-1116:11:10.466518|109679842882013102
2023-02-1116:30:11.711914|27013507608896322
2023-02-1116:59:45.6024|34538174707954106
2023-02-1116:32:21.996419|29964706299740114
2023-02-1116:32:35.9141|16658017807706702
2023-02-1116:34:23.827021|32937831354011565
2023-02-1117:00:05.968736|40186518105904837
2023-02-1117:04:47.01789|26100290993587113
2023-02-1117:07:11.002358|21844161007369385
2023-02-1116:41:44.928051|66395977228759076
2023-02-1116:41:46.191693|66395977228759076
2023-02-1116:41:47.488206|66395977228759076
2023-02-1116:41:48.747541|66395977228759076
2023-02-1117:07:12.244251|21844161007369385
2023-02-1117:11:46.685681|27806908108833176
2023-02-1117:12:11.356039|26383272082388469
2023-02-1116:46:12.013107|32798932608668497
2023-02-1117:13:47.874498|25798955226514406
2023-02-1117:20:52.125618|999999999982008000
2023-02-1117:20:55.524267|999999999982008000
2023-02-1117:20:49.781126|999999999982008000
2023-02-1117:20:50.916064|999999999982008000
2023-02-1117:20:53.25935|999999999982008000
2023-02-1117:20:54.39185|999999999982008000
2023-02-1117:20:56.665272|999999999982008000
2023-02-1117:21:00.063264|999999999982008000
2023-02-1117:20:57.797394|999999999982008000
2023-02-1117:20:58.930044|999999999982008000
2023-02-1117:21:10.727464|1023053946827556723
2023-02-1119:57:35.896143|37420466175477985
2023-02-1108:12:36.058844|17900463226783991
2023-02-1108:16:11.987079|16657831324208900
2023-02-1119:38:04.276187|19999999999402000
2023-02-1119:38:04.500864|19999999999402000
2023-02-1119:38:04.726707|19999999999402000
2023-02-1119:38:01.77154|19999999999402000
2023-02-1119:38:01.999567|19999999999402000
2023-02-1119:38:02.226844|19999999999402000
2023-02-1119:38:02.453296|19999999999402000
2023-02-1119:38:02.677877|19999999999402000
2023-02-1119:38:02.904026|19999999999402000
2023-02-1119:38:03.139445|19999999999402000
2023-02-1119:38:03.366649|19999999999402000
2023-02-1119:38:03.593643|19999999999402000
2023-02-1119:38:03.818294|19999999999402000
2023-02-1119:38:04.045045|19999999999402000
2023-02-1119:38:04.95522|19999999999402000
2023-02-1119:38:05.181397|19999999999402000
2023-02-1119:38:05.408888|19999999999402000
2023-02-1119:38:05.638667|19999999999402000
2023-02-1119:38:05.864846|19999999999402000
2023-02-1119:38:06.093912|19999999999402000
2023-02-1119:38:06.318381|19999999999402000
2023-02-1119:38:06.546426|19999999999402000
2023-02-1119:38:06.772034|19999999999402000
2023-02-1119:38:06.999715|19999999999402000
2023-02-1119:38:07.228346|19999999999402000
2023-02-1119:38:07.458988|19999999999402000
2023-02-1119:38:07.684046|19999999999402000
2023-02-1119:38:07.911124|19999999999402000
2023-02-1119:38:08.143135|19999999999402000
2023-02-1119:38:08.375464|19999999999402000
2023-02-1119:38:08.600049|19999999999402000
2023-02-1119:38:08.827181|19999999999402000
2023-02-1119:38:09.055512|19999999999402000
2023-02-1119:38:09.284256|19999999999402000
2023-02-1119:38:09.510572|19999999999402000
2023-02-1119:38:09.740231|19999999999402000
2023-02-1119:38:09.968028|19999999999402000
2023-02-1119:38:10.197019|19999999999402000
2023-02-1119:38:10.424505|19999999999402000
2023-02-1119:38:10.649481|19999999999402000
2023-02-1119:38:10.877612|19999999999402000
2023-02-1119:38:11.105294|19999999999402000
2023-02-1119:38:11.333819|19999999999402000
2023-02-1119:38:11.562908|19999999999402000
2023-02-1119:38:11.795569|19999999999402000
2023-02-1119:38:12.02231|19999999999402000
2023-02-1119:38:12.24937|19999999999402000
2023-02-1119:38:12.479889|19999999999402000
2023-02-1119:38:12.705343|19999999999402000
2023-02-1119:41:23.460908|28313967866945642
2023-02-1119:41:35.774405|28217072512140122
2023-02-1119:41:47.837477|32353472175942539
2023-02-1119:46:00.009895|54545461764294232
2023-02-1119:46:11.492542|53950342907878339
2023-02-1119:53:35.725195|41057510797276249
2023-02-1119:53:36.332591|41057510797276249
2023-02-1119:57:36.275028|37420466175477985
2023-02-1119:58:47.197379|32391389471723281
2023-02-1119:54:11.796839|49992855413077937
2023-02-1119:54:12.28014|49992855413077937
2023-02-1119:58:47.566417|32391389471723281
2023-02-1119:58:47.934382|32391389471723281
2023-02-1119:59:35.698083|44234435412159906
2023-02-1119:55:23.843594|48003205671648047
2023-02-1120:06:11.646504|11194793334481692
2023-02-1120:06:47.607112|12309773912957685
2023-02-1120:51:35.699131|12071066692026302
2023-02-1120:08:23.638702|14654332351854129
2023-02-1120:53:11.220496|56286525006792058
2023-02-1120:09:22.876352|13901434862667142
2023-02-1120:09:21.996029|13901434862667142
2023-02-1120:11:35.237018|13777009652827670
2023-02-1120:17:23.799937|25590665942032216
2023-02-1121:05:11.337689|12538503204741822
2023-02-1121:05:12.130267|12538503204741822
2023-02-1121:05:23.497603|18880269382249098
2023-02-1120:24:59.81664|43119489369737663
2023-02-1121:05:59.542786|40935610772476564
2023-02-1120:39:23.637899|14355846801889923
2023-02-1121:06:47.206533|34506741842617194
2023-02-1121:11:23.674709|31075242352484801
