inserted_at,received_at
00:57:00.682513,00:57:00.569801
00:58:55.898317,00:58:55.214771
00:58:57.131847,00:58:56.620123
00:58:53.21455,00:58:52.65241
00:58:54.53191,00:58:53.92879
00:58:49.433617,00:58:48.888482
00:58:50.675433,00:58:50.103253
00:58:51.938775,00:58:51.380583
00:58:58.209571,00:58:57.83872
00:58:59.548308,00:58:59.098359
00:59:00.499115,00:59:00.259692
01:01:31.083809,01:01:30.883181
01:01:27.64252,01:01:27.607322
01:01:28.484212,01:01:28.293548
01:01:29.351324,01:01:29.135084
01:01:30.22405,01:01:30.007368
01:01:33.860886,01:01:33.592054
01:01:34.789214,01:01:34.520394
01:01:31.939944,01:01:31.741779
01:01:32.925533,01:01:32.652178
01:01:35.672317,01:01:35.457434
01:01:36.572713,01:01:36.35298
01:06:01.686346,01:06:01.665338
01:06:02.376798,01:06:02.350079
01:06:04.627422,01:06:04.472307
01:06:01.014257,01:06:00.986835
01:06:03.07072,01:06:03.04127
01:06:03.831422,01:06:03.731105
01:06:05.439377,01:06:05.299606
01:06:06.281732,01:06:06.113405
01:06:07.130893,01:06:06.95493
01:06:07.992752,01:06:07.815045
01:06:09.734945,01:06:09.507834
01:06:08.859941,01:06:08.646528
01:06:10.612472,01:06:10.416178
01:06:11.421915,01:06:11.282273
01:06:12.236767,01:06:12.079495
01:06:15.005975,01:06:14.96215
01:06:15.700816,01:06:15.658603
01:06:12.914159,01:06:12.899667
01:06:13.596806,01:06:13.572074
01:06:14.305851,01:06:14.262836
01:06:18.514345,01:06:18.461656
01:06:19.237861,01:06:19.157973
01:06:19.988822,01:06:19.90763
01:06:16.392204,01:06:16.350894
01:06:17.082359,01:06:17.032329
01:06:17.803479,01:06:17.726699
01:06:20.744654,01:06:20.640733
01:06:21.66227,01:06:21.399985
01:06:22.376342,01:06:22.309626
01:06:23.085367,01:06:23.028629
01:06:23.83146,01:06:23.746919
01:06:24.588873,01:06:24.478428
01:07:34.730593,01:07:34.496715
01:07:35.601869,01:07:35.37748
01:07:36.478383,01:07:36.262444
01:07:30.347136,01:07:30.174526
01:07:25.076343,01:07:25.058069
01:07:25.717491,01:07:25.700647
01:07:26.382958,01:07:26.357357
01:07:27.045882,01:07:27.018699
01:07:27.848905,01:07:27.687682
01:07:28.708426,01:07:28.493673
01:07:29.529312,01:07:29.365559
01:07:31.236656,01:07:30.992224
01:07:32.112183,01:07:31.875912
01:07:32.955967,01:07:32.76357
01:07:33.849769,01:07:33.618995
01:08:33.819651,01:08:33.783225
01:08:34.506359,01:08:34.466157
01:08:25.11339,01:08:25.09645
01:08:25.75246,01:08:25.73624
01:08:26.397641,01:08:26.379761
01:08:27.048334,01:08:27.028318
01:08:27.713424,01:08:27.686202
01:08:28.374785,01:08:28.349542
01:08:29.045394,01:08:29.00529
01:08:29.724614,01:08:29.68832
01:08:30.39804,01:08:30.356435
01:08:31.076783,01:08:31.032486
01:08:31.753944,01:08:31.720476
01:08:32.448052,01:08:32.411984
01:08:33.134506,01:08:33.095383
01:08:35.190759,01:08:35.148735
01:08:35.879586,01:08:35.83005
01:08:36.572964,01:08:36.519222
01:10:15.784848,01:10:15.748297
01:10:16.445831,01:10:16.410108
01:10:17.114911,01:10:17.071861
01:10:13.172255,01:10:13.150347
01:10:13.814307,01:10:13.794876
01:10:14.4635,01:10:14.438022
01:10:15.122691,01:10:15.086567
01:10:18.750473,01:10:18.561876
01:10:17.930104,01:10:17.742603
01:10:19.585001,01:10:19.395281
01:10:20.419758,01:10:20.223659
01:10:21.251915,01:10:21.055367
01:10:21.992406,01:10:21.888917
01:10:22.731072,01:10:22.629361
01:10:23.4723,01:10:23.37049
01:10:24.32877,01:10:24.116985
01:10:57.511457,01:10:57.381794
01:10:58.286506,01:10:58.170623
01:10:49.003801,01:10:48.899846
01:10:49.753911,01:10:49.652243
01:10:50.519453,01:10:50.404391
01:10:51.300101,01:10:51.173513
01:10:52.045521,01:10:51.959451
01:10:52.83175,01:10:52.703672
01:10:53.622815,01:10:53.494762
01:10:54.408554,01:10:54.282598
01:10:55.18476,01:10:55.06702
01:10:55.935594,01:10:55.846356
01:10:56.721835,01:10:56.608869
01:10:59.059118,01:10:58.94645
01:10:59.813539,01:10:59.718999
01:11:07.179055,01:11:07.132192
01:11:07.868436,01:11:07.817092
01:11:01.152355,01:11:01.131249
01:11:01.800879,01:11:01.776173
01:11:02.456888,01:11:02.425075
01:11:03.115691,01:11:03.085124
01:11:03.786606,01:11:03.745612
01:11:04.460461,01:11:04.418721
01:11:05.137952,01:11:05.094364
01:11:05.817562,01:11:05.77441
01:11:06.496379,01:11:06.452767
01:11:08.5623,01:11:08.511129
01:11:09.246817,01:11:09.200391
01:11:09.94157,01:11:09.887316
01:11:10.636126,01:11:10.581521
01:11:11.357739,01:11:11.296316
01:11:12.089073,01:11:12.011485
01:11:12.807633,01:11:12.74449
01:13:42.84886,01:13:42.422029
01:13:37.646451,01:13:37.625758
01:13:38.308422,01:13:38.286252
01:13:38.972798,01:13:38.952791
01:13:39.647181,01:13:39.625836
01:13:40.543275,01:13:40.298446
01:13:41.730081,01:13:41.232904
01:13:43.97174,01:13:43.540246
01:13:44.890763,01:13:44.63881
01:13:46.02893,01:13:45.594884
01:13:46.953724,01:13:46.702601
01:13:47.96317,01:13:47.63725
01:13:48.920505,01:13:48.635164
01:13:51.378435,01:13:51.348709
01:13:52.059328,01:13:52.02813
01:13:52.7306,01:13:52.699835
01:13:49.400744,01:13:49.378727
01:13:50.059511,01:13:50.033964
01:13:50.716407,01:13:50.692496
01:13:55.525598,01:13:55.435766
01:13:56.255505,01:13:56.187118
01:13:53.412747,01:13:53.369249
01:13:54.095818,01:13:54.05443
01:13:54.792223,01:13:54.740775
01:13:56.967701,01:13:56.906188
01:13:57.679387,01:13:57.616967
