decode_duration|pg_column_size
267668|148324
102255|182331
108326|182767
244161|182555
116829|183792
85164|184639
85747|185109
104975|188053
247454|184577
103241|188590
103765|189484
106774|189633
102929|190216
204506|190002
107571|191367
102664|191699
89808|71184
6171|28196
3934|28762
3414|29339
20861|28921
21919|29131
2096|29536
106137|190980
208883|191193
5455|191504
107804|324085
203171|242836
103384|242989
92099|172018
104079|172274
83954|172412
134813|172243
91546|77726
99815|78880
123133|78418
93637|79017
119140|84150
213045|84162
95075|84506
122401|84800
95669|84977
95256|86509
129021|86325
121760|87772
95909|88586
129987|88358
95733|84203
122483|84164
113639|84409
131738|84380
92101|87204
87133|87460
81036|87672
123438|87437
88906|87959
101354|88228
116028|87980
10213|22404
10862|22653
8963|22601
10685|22862
7107|23398
101316|88019
82187|88420
112016|88237
81842|88695
106751|88476
124286|88432
52253|10547
13306|10766
1529|11982
12691|12337
8909|13640
4714|13852
11123|20428
7809|20379
17160|22427
8196|25504
4790|26260
65977|26485
86210|90266
123403|90218
10039|23434
11069|23752
8495|23718
10702|24535
87283|24487
17962|25345
9451|26040
114120|92016
81294|92772
117036|92537
112942|90218
80482|90453
112767|90218
79277|92203
82482|94741
81813|96659
113445|94693
81067|96898
104543|97770
76125|99016
94011|92585
80613|94305
80452|94928
100064|99375
309|5241
10796|7384
312|8104
11948|8298
11335|9455
5289|16936
101206|99688
4668|8592
11878|16038
6885|15971
9669|16608
2528|16536
11465|16775
11201|17758
5805|29953
12024|34423
10146|18346
7889|18291
10965|18768
44516|21077
11975|21791
11641|23083
10796|22779
9722|24017
6586|24126
11293|24330
6066|24643
11492|24687
13502|25114
12692|25468
10415|25681
11520|25620
8323|25823
1781|26008
801|26151
866|26383
9173|26205
511|26737
57823|26350
845|28276
11865|28260
1110|28458
2020|28637
13810|28406
3003|28777
13785|28601
1384|29100
1194|29255
10668|29068
9364|29020
1302|29384
4033|35032
15420|35798
4482|36416
11843|29309
12705|29982
5079|34233
12149|35845
8989|36548
12461|36954
11618|37810
139098|74577
85554|75441
81046|75581
128178|75200
82411|75758
13538|37088
13984|45562
17415|45274
84693|74997
109085|75556
98557|76753
93736|77539
112683|78081
90517|80973
89797|81629
156240|81581
93197|72460
116476|72433
96117|73654
98505|74177
129779|73995
97612|74309
115595|75059
80396|75298
83363|75224
56715|75540
83335|75941
81128|76141
106597|75917
81874|76881
128654|76286
89076|76783
82831|77245
84478|77621
82579|77767
119244|77537
118486|77292
86288|77923
83429|78200
118016|50380
93158|50681
109951|51624
93426|52275
94942|53714
114830|53876
92476|54076
99846|54244
111922|54196
95492|54840
89978|78986
120330|79455
93359|79450
92640|79759
121871|79726
92534|79922
99231|80920
119646|80921
83475|81313
115613|82191
93427|82194
112518|84575
123982|84947
93883|84934
92653|85422
127153|85826
94367|86301
114184|86550
123696|86542
81451|86755
85260|86992
85949|87278
105606|87102
300840|98176
125646|99171
121970|99732
118895|86542
80705|88098
115707|87912
79949|88314
125608|88133
94759|88132
82094|88790
99262|88609
81824|89060
126196|88881
329859|93403
156997|94035
165812|95366
335151|95314
131007|96440
237503|96565
341222|96535
187806|97298
120929|98385
113576|98739
306465|99526
134132|100426
155381|100738
197875|100771
127009|103645
162242|103354
239557|103830
115809|105293
278781|105262
125311|106247
124113|107033
308779|106399
235233|109073
190696|109242
99666|110029
101883|109961
4946|15907
9218|16032
3056|16125
9822|16828
139077|107611
118242|107767
166484|108075
246462|108723
3414|109033
102661|110174
300409|109937
99660|110916
84085|111140
130871|110942
80365|111279
124434|111248
85810|111441
167785|110909
84226|111604
145|3175
202|3709
300|3892
339|4917
247|5096
16687|13052
2963|13469
9114|14329
9694|14490
2272|14623
7925|15092
3076|15011
7743|15781
3210|15712
9949|16930
7752|17237
9743|17167
11813|19005
5572|17395
6044|19336
21092|19429
12710|19666
10144|19575
9560|19839
19153|20551
11618|21000
6704|20506
12906|21348
866|21846
980|22104
7653|21574
14777|21898
4879|21834
845|22298
22258|22096
7834|21834
666|22575
11997|22373
721|22755
8533|22298
13732|22545
133|2375
120|1815
206|2738
212|3110
202|3873
222|3903
13071|13071
409|8457
12811|10028
319|13023
22457|13811
335|12233
9783|15109
2910|15851
4350|16944
7328|17482
7011|17440
4048|17440
18191|17906
9357|18530
8131|18687
92566|75636
111442|74705
118167|75949
103554|77396
80787|77944
81005|78841
77519|79202
96925|79015
114147|78967
79375|79563
95385|79376
79259|79924
114700|79689
95909|79737
80042|80285
79686|80532
88785|80345
117502|80297
80948|80893
79949|83361
97739|83913
80709|85159
165|3768
266|5631
240|5214
299|6918
325|7459
355|7407
334|7722
562|9441
28306|9463
104576|48651
130031|48378
116881|51084
92926|51273
113351|108788
96870|108886
50078|109228
94196|110241
12393|28738
1154|29160
12717|29307
16158|29876
212312|51038
195855|94153
