read_header_duration|read_duration|decode_duration|cache_read_duration|randao_lock_2_duration|simulation_duration|redis_update_duration|submission_duration|optimistic_submission
77|0|17347|331|2769|17|7535|28021|t
54|0|15483|4120|3310|11|14262|37215|t
61|0|15003|427|2835|23|6905|25243|t
42|0|16482|353|2713|15|6759|26362|t
54|0|119331|442|3215|8|8520|131540|t
59|0|148682|354|3231|10|7913|160211|t
55|0|118933|424|2426|24|8290|130128|t
51|0|92336|400|2664|16|8747|104186|t
62|0|119207|349|3281|15|8415|131302|t
44|0|94379|386|2538|18|7730|105076|t
49|0|117349|440|2622|17|8511|128961|t
55|0|96902|474|2757|14|7564|107742|t
49|0|122816|369|2956|17|8724|134903|t
46|0|106046|540|2207|86|10835|119736|t
45|0|126093|418|2496|15|8439|137496|t
40|0|112750|416|3235|7|9441|125870|t
54|0|131724|484|2038|16|9393|143679|t
43|0|104595|1401|2090|15|9855|117975|t
65|0|130465|379|2419|25|9106|142424|t
54|0|102212|439|2477|11|10458|115622|t
49|0|97831|436|3164|89448|10857|201800|f
133|0|97069|456|2263|71135|12090|183034|f
111|0|194237|399|1956|3|11691|208304|t
51|0|126072|357|2329|16|11251|140043|t
67|0|97454|401|3304|75098|11163|187442|f
72|0|141276|620|2802|18|7826|152561|t
64|0|139934|400|2513|16|10598|153486|t
130|0|113163|392|2925|27|37913|154445|t
47|0|138018|496|3259|10|9996|152311|t
53|0|110480|383|2484|13|33594|146972|t
51|0|131687|479|3307|25|8631|144151|t
54|0|104340|353|2440|12|10372|117544|t
56|0|182045|499|2361|28|12122|197087|t
89|0|170572|866|3242|11|198452|373167|t
78|0|3991|506|3306|10|99248|107095|t
79|0|103526|537|3136|11|103551|210798|t
56|0|154418|525|2542|21|13699|171228|t
103|0|174701|414|2503|15|11089|188743|t
50|0|131250|448|2123|13|11348|145208|t
44|0|172724|383|3020|13|12315|188480|t
62|0|99246|894|2298|78537|12554|193550|f
57|0|133466|416|2462|25|36464|172855|t
81|0|102025|416|3461|89771|11891|207590|f
56|0|182344|391|1986|11|11295|196050|t
56|0|124213|476|2252|12|12301|139276|t
59|0|98194|558|46281|73348|36255|254666|f
56|0|100582|453|3005|72149|11828|188061|f
58|0|98361|386|2564|110601|12955|224886|f
60|0|193330|551|3114|7|57751|254778|t
45|0|99315|374|2606|92192|12233|206742|f
57|0|150456|343|2149|17|12867|165859|t
81|0|169621|375|3198|25|28434|201674|t
54|0|98334|13054|2802|77525|12028|203789|f
