read_header_duration|decode_duration
2811|3245
2282|2735
2088|2540
2230|2866
4313|5571
2300|2933
3028|3568
3785|4816
2141|2637
13570|13913
2547|3075
2164|2606
2433|3429
2523|3040
14088|14636
5198|6106
2349|3034
13109|14028
2453|2868
3062|5055
3122|3916
25865|26405
2447|2884
2799|11731
2459|3130
9826|10436
2198|2523
2364|10313
2421|3002
11916|13026
2328|2819
2502|2964
2549|3302
2257|2949
2915|3510
14441|15159
3311|4851
2350|2971
2544|3084
3384|3941
13641|14296
2748|3349
2604|3167
2763|4014
2133|2893
2524|10772
3314|4089
2392|3300
2134|11581
2550|3412
2306|2964
2458|2933
2397|3416
2547|2794
2704|3127
2123|2579
2902|3214
2324|2612
2727|2985
2251|2653
2168|2794
3540|4736
6899|7299
11182|11565
4097|4539
22405|22926
2300|2857
2621|3216
37922|41338
2623|3293
13489|14186
3382|4271
92079|98452
2534|3682
13567|14605
2569|3484
2648|3857
2891|20201
2459|3482
2277|9602
2705|3791
2635|3542
2725|11113
3675|4817
2631|3450
2980|3718
34749|65799
4371|5296
2944|3987
2427|11138
2512|3390
2347|11622
2277|3244
2821|14425
3418|4301
2587|232598
2708|129704
3130|180027
2754|91897
2262|120833
2948|92931
2624|109827
3944|137524
3918|140196
3865|159280
3862|109879
5288|137617
2574|114521
3794|117911
2629|117355
13427|113765
3061|117623
2674|118085
2613|239206
2473|111443
3098|137898
2980|137431
2610|115899
2310|137450
2652|135123
2688|136806
2152|108775
2412|137112
2636|136335
2622|136981
14374|194953
68548|108753
2049|140121
3896|139977
2570|137266
2551|106431
19602|137515
2295|139462
3188|133206
2521|139162
2530|106491
2821|138398
2610|139798
2274|136813
2308|138352
2591|138066
3607|111227
5314|183910
2894|138227
2900|137851
4147|130876
2853|137980
10121|192111
2522|140276
2544|269697
2440|2794
2597|2794
3341|3681
2589|3433
2687|3047
2397|2712
3699|4036
10886|11342
2620|3099
2717|3382
13979|14537
2037|2353
2836|3275
13086|13658
2351|2872
2388|2979
14219|14821
2597|3098
2589|3693
2398|2986
2595|92223
2617|3132
4544|8145
4009|97887
2387|80781
2617|104571
2608|81391
5489|104662
2598|85722
2262|107121
3161|108906
4799|91669
3938|123068
2830|122973
2497|99026
3439|122453
2518|123825
2684|123012
2632|123541
3645|110003
2003|123438
13743|117911
2598|92934
2598|122909
2483|123495
2758|96594
2625|124386
2732|95815
2834|123223
2507|104247
2937|122836
2463|115690
2268|95893
2266|108308
2634|97780
4108|100028
58210|79828
2411|104270
7029|86605
4775|79693
2947|105012
2797|80410
2927|79860
2787|104946
2686|103689
2863|80289
4418|101147
3084|3946
2656|3364
12165|21193
2636|3629
2534|3531
2852|13308
2614|3961
2233|3318
2510|10089
2718|3587
2036|3005
2909|4274
2545|3486
2561|3943
13472|23332
2677|4191
2844|3626
2695|11496
2589|3591
2221|3233
2585|11673
4811|6798
2292|3401
2496|10928
2623|4018
2655|3739
3533|4315
13964|24065
2718|3781
2590|3456
2885|3730
2398|3413
15083|25096
2446|3739
2291|3891
2522|13265
2402|3865
2400|79574
2556|104120
2629|80868
2946|192628
2888|105331
2692|103958
2773|80407
2592|79680
3336|82170
2813|104097
2583|153908
2709|82819
3370|81294
2302|82403
3613|81934
2585|86359
2676|83299
2428|84580
2711|95108
111863|611485
108443|711049
2749|1035406
2342|244231
2685|251620
3776|204994
201494|604322
2568|2939
13711|226296
2927|237256
3095|132253
3468|199925
108570|328508
13627|223428
3667|207724
3655|209295
101315|409616
3399|322565
4074|208202
4014|174381
3539|238753
2488|151560
3675|499936
4750|108096
3327|82840
2377|84943
4494|108021
2564|108967
3299|94828
2802|108493
10839|110921
183586|192978
98431|202380
5132|90277
3853|109328
13894|105994
2870|108386
2916|109532
2997|116048
2729|91801
2592|115636
3488|91156
2539|115537
2682|108421
12817|109264
2410|109606
2436|90617
2474|116282
3405|117970
3721|203319
100224|302610
2473|94179
3376|93820
2516|90703
2480|129416
3795|89805
2492|115733
2036|92104
3078|116397
2292|90373
2214|116097
2777|94261
2589|117136
2798|92944
2222|116385
3939|210720
111102|204502
3626|103603
2852|116144
30009|91964
14457|81285
2805|116759
2689|91921
12637|116751
2959|122660
3002|123448
2924|122742
47022|117525
3729|122818
2879|121994
3454|123041
12747|256966
2753|105863
2374|99462
3053|123038
2565|123324
12954|116478
2226|535873
2558|122513
2837|124194
2751|122397
2464|124115
2554|92959
2605|122772
2965|171945
2716|123101
2581|123347
2616|123824
2745|101506
2636|162992
13099|93522
2182|104695
3002|4033
2581|102832
2381|80597
2629|261647
2269|105643
2761|80073
2200|102206
38448|184950
3720|103644
3268|90645
2610|104730
3190|103675
2683|79144
2479|107893
2367|80651
2613|104164
2512|82234
2727|104127
2334|118937
2404|104911
2336|104190
2240|93150
2640|107691
4666|113745
4179|104796
2250|91099
2608|105936
2120|81001
2389|104802
3005|105533
2663|131294
2307|110349
2726|82026
3741|105583
4054|105817
2676|92048
2635|104713
2437|82216
3768|105392
2575|112061
2732|81906
2657|105332
2549|82490
2350|104710
3075|81007
2425|129973
2460|105287
3432|81010
2855|78267
2487|110546
2594|80456
2801|105427
2106|105500
2476|80746
101517|304623
192272|395345
6961|131563
3121|297465
2102|183859
5138|287639
106168|205869
96985|304194
3633|234219
2113|134612
2356|277226
2549|133216
2585|331841
2744|172119
2698|164946
2688|133586
78618|111338
2801|135166
2725|164222
2540|110940
3758|110724
3017|109067
5393|160259
2734|125256
3005|134557
2644|134836
2624|135304
10996|141562
2865|274155
5468|107603
3841|197611
2716|164571
2945|102180
12604|105425
2569|110060
4571|83677
6221|106028
2882|85959
3045|106360
2748|107567
2368|106888
2627|106237
2599|106431
2425|108736
2265|91651
2793|109047
2525|82979
2358|109996
2709|83272
2692|106505
4103|82126
2670|107335
2286|107235
3116|84113
3196|107443
3511|86287
2562|110286
2593|106506
2171|107536
2666|94126
3145|109090
2436|92040
2446|108259
2616|84314
2671|112476
4572|108831
4356|108981
6563|109416
2858|108195
7288|291590
2698|98625
2519|87306
2513|113248
4381|85354
2736|108657
2661|83254
2668|81980
2398|88681
3583|108755
2548|113313
2437|108685
2518|88468
17928|94105
2972|99747
2827|82838
3509|108400
2620|84035
1987|112095
2366|107819
3675|4240
2254|2749
2222|2516
2821|3728
2247|2653
2588|2900
2482|2819
4482|5698
12957|13889
2736|3482
3581|4608
14700|15970
4616|5831
2497|3429
14053|14559
3090|108054
2669|96203
2417|108337
2941|96474
5892|111769
2713|81081
2370|108984
2504|108405
2688|87765
2253|108233
2608|108255
2806|84794
2535|112831
2745|109044
3161|95640
2547|108636
2553|84087
2362|109303
2580|109427
4563|92361
2537|85280
2591|116712
2451|88037
3308|112409
2618|84521
3965|86973
2399|85817
3737|103264
2319|87980
2965|110915
2468|87526
2312|112804
2851|88397
3979|5055
3003|4053
2604|2966
3452|3938
2418|114795
3093|101471
44414|108561
2384|83528
2244|2623
2321|2612
2333|2648
2357|2670
4850|5435
2480|2967
2372|2603
2346|2804
4021|4671
3636|4259
2521|2823
2183|2580
2618|2918
2210|2747
2290|2815
12919|106272
2275|2753
2929|3517
2336|87433
2361|3020
2563|2957
3331|83380
2251|108376
2677|83209
2259|107640
2690|147025
2297|83577
2669|108196
2605|108469
2726|108842
2827|93858
2803|112241
3078|110833
2332|108441
2558|108606
2077|108959
2396|108233
2505|108214
2437|94707
4225|118069
2908|108601
2285|108094
4492|98110
20935|82868
2391|108357
5569|119433
2507|111990
2479|83520
3159|102422
3056|162148
4302|127106
32883|282628
2785|98722
2748|123623
2415|126167
5733|130365
2699|162986
2634|98306
2717|125792
2514|127819
3298|126437
3611|125606
3127|200983
2130|159791
2664|128886
2577|129074
2493|126908
2459|127331
4700|157514
13427|125945
1845|128236
