read_header_duration|read_duration|decode_duration|cache_read_duration|randao_lock_2_duration|simulation_duration|redis_update_duration|submission_duration|optimistic_submission
60|170211|5708|307|3505|18|9467|189235|t
49|122994|1881|370|2447|17|9074|136809|t
56|125100|15675|242|3538|8|9896|154477|t
79|82377|2045|390|2770|57811|9505|154917|f
45|161047|2604|880|7407|14|14834|186822|t
71|243536|1889|611|3755|11|98710|348535|t
70|101368|2095|498|3129|193752|108658|409542|f
70|165004|1542|413|2689|22|10195|179890|t
51|126822|2054|370|2442|13|24214|155933|t
91|82934|2037|433|2601|53704|9936|151669|f
56|164050|1441|367|2717|15|9886|178518|t
62|127511|2018|327|20335|15|9231|159462|t
39|91640|3340|292|2542|53013|34288|185134|f
39|92867|1981|459|2527|57059|12492|167407|f
287|158032|1993|359|2624|15|9028|172069|t
46|124363|2121|372|3213|15|8292|138396|t
82|83246|1985|375|2531|59150|9257|156565|f
42|92634|2004|352|2300|59440|7687|164444|f
73|160602|1421|315|2768|22|7619|172764|t
115|86423|1219|223|1957|58173|17138|165150|f
61|3723|4485|425|3130|8|195311|207118|t
50|16388|586|291|2507|14|5737|25541|t
46|11400|474|415|2488|20|6161|20978|t
58|12885|494|340|2386|30|6773|22930|t
66|15422|519|332|2468|20|5366|24150|t
83|101531|2416|1006|2846|90896|10950|209664|f
4989|11079|402|327|3215|12|4678|19752|t
14364|19021|320|341|2388|24|4370|26485|t
56|5854|378|296|2923|8|4565|14046|t
50|6747|413|349|2012|15|5022|14584|t
63|9438|395|345|3284|17|4571|18068|t
81|6177|429|348|2619|22|5338|14998|t
43|9380|458|358|2271|9|4875|17374|t
57|11939|379|325|2239|14|5771|20689|t
54|10306|485|355|2468|15|5705|19354|t
47|10890|489|347|2243|13|4759|18763|t
53|14003|517|341|2504|20|5849|23255|t
39|13944|656|599|3679|47|5811|24764|t
40|12315|501|331|3248|7|5650|22072|t
45|116769|1986|858|3245|8|68623|191506|t
49|150516|3232|452|4008|12|10716|168982|t
16287|133734|1704|272|2540|14|7794|146077|t
57|142342|1186|336|2553|17|23908|170360|t
52|17211|1850|389|3088|12|6000|28578|t
70|11676|523|374|2345|29|6714|21690|t
59|21090|537|366|2522|15|5181|29732|t
96|19600|529|370|2923|20|6321|29789|t
52|17351|683|425|2485|16|6573|27565|t
56|18699|682|500|2389|16|6406|28718|t
54|18452|546|360|2628|25|6245|28275|t
69|14579|572|318|2513|6|6648|24652|t
89|111501|688|346|2477|14|7099|122143|t
54|93011|914|315|2703|12|6854|103833|t
46|145648|2337|1203|3084|15|10065|162392|t
91|107982|1577|249|2565|15|8083|120494|t
59|139801|2322|344|4010|16|9082|155597|t
65|107412|1657|377|3360|6|7696|120530|t
48|140194|1790|413|3287|21|7785|153515|t
53|143722|1761|773|2405|16|70336|219039|t
39|125504|2166|306|2784|17|9381|140180|t
71|158291|2206|379|2499|27|10774|174197|t
57|110577|1690|280|2600|8|8935|124112|t
60|161939|2930|395|2898|13|9998|178199|t
62|87872|2410|884|3484|163785|101688|360155|f
79|94840|2303|308|2286|88154|10194|198187|f
87|164813|34369|363|3323|15|10591|213505|t
56|48095|2239|283|49752|73034|34843|208267|f
170|92514|2060|171|1941|71946|9595|178257|f
7349|147436|2361|379|2804|19|13070|166090|t
76|96066|1640|352|2899|64368|10006|175366|f
47|126658|2223|395|3219|6|9339|141865|t
67|84265|2184|367|3180|89295|9272|188589|f
54|155881|1581|336|49407|35|193645|400902|t
59|104330|5921|89603|3487|12|203877|407266|t
65|201194|1961|982|3494|10|497411|705074|t
66|101191|1673|1828|3744|11|395205|503684|t
48|103783|1679|96852|5219|13|102004|309589|t
54|151757|2675|347|6151|9|10060|171050|t
44|80422|1957|399|3275|93260|10153|189486|f
64|101667|2653|350|5343|100726|94214|304990|f
45|173668|4552|390|2632|14|95273|276552|t
70|8033|476|261|2814|14|4596|16212|t
134|7040|405|454|2887|22|5491|16323|t
58|13388|491|365|2237|9|5989|22501|t
50|9158|557|368|2488|15|5709|18314|t
46|9691|476|387|2443|15|5445|18481|t
56|8772|524|359|2702|14|5497|17897|t
89|8829|471|372|2814|32|6147|18692|t
49|181669|1883|255|2624|30|10821|197299|t
52|126720|2423|356|2513|16|9498|141553|t
